"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"128"	9	53	70	0	4	1	5	792.37921727	981.75994378	19	1501	1	20	51501	0	3	11	1	1	1.01	20.2	0	19831.55	0	0	0	1111	107.49	1218.49
"129"	9	53	73	5	12	1	5	449.25735137	556.63104535	19	301	1	50	50301	999999.99	3	2	12	1	1	50	4	333978.63	26718.29	0	1	1282.69	482.42	1765.11
"130"	9	53	73	5	5	1	5	449.25735137	556.63104535	19	101	1	250	50101	999999.99	3	3	12	1	1.09	272.5	21.8	1820183.52	145614.68	0	1	4474.4	20.33	4494.73
"131"	9	53	75	1	3	1	5	709.42219242	878.9759708	19	301	1	35	50301	0	3	12	1	1	1.01	35.35	0	31071.8	0	0	0	2845.34	30.22	2875.56
"132"	9	53	79	4	9	1	5	795.91383522	986.13934475	19	101	1	450	50101	0	1	3	12	1	0.99	445.5	0	5271900.94	0	0	0	1238.39	300	1538.39
"133"	9	53	80	8	3	1	5	650.66666667	806.17771915	19	301	1	100	50301	0	3	1	2	1	1	100	0	161235.54	0	0	0	1900	190	2090
"134"	9	53	82	4	2	1	6	1810.10142939	2242.72045355	19	301	1	60	50301	0	3	4	12	1	1.09	65.4	0	1760087.01	0	0	0	2930	709.1	3639.1
"135"	9	53	82	4	3	1	6	1810.10142939	2242.72045355	19	101	1	420	50101	85	1	5	12	1	1.08	453.6	91.8	12207575.97	2470580.85	0	0	13892.25	0	13892.25
"136"	9	53	82	4	5	1	6	1810.10142939	2242.72045355	19	101	1	1200	50101	200	1	5	12	1	1.08	1296	216	34878788.49	5813131.42	0	0	5677.62	1074.09	6751.71
"137"	9	53	82	4	6	1	6	1810.10142939	2242.72045355	19	101	1	224	50101	0	3	7	12	1	1.16	259.84	0	6992981.79	0	0	0	6673.46	778.49	7451.95
"138"	9	53	82	4	7	1	6	1810.10142939	2242.72045355	19	1501	1	45	51501	0	3	6	12	1	1.07	48.15	0	1295843.88	0	0	0	7449.33	1061.92	8511.25
